"","time"
"1",0.197368421052632
"2",0.296052631578947
"3",0.361842105263158
"4",0.394736842105263
"5",0.493421052631579
"6",0.559210526315789
"7",0.625
"8",0.756578947368421
"9",0.789473684210526
"10",0.855263157894737
"11",0.921052631578947
"12",1.01973684210526
"13",1.08552631578947
"14",1.18421052631579
"15",1.25
"16",1.31578947368421
"17",1.38157894736842
"18",1.41447368421053
"19",1.44736842105263
"20",1.48026315789474
"21",1.51315789473684
"22",1.57894736842105
"23",1.64473684210526
"24",1.80921052631579
"25",1.90789473684211
"26",1.94078947368421
"27",1.97368421052632
"28",2.00657894736842
"29",2.03947368421053
"30",2.07236842105263
"31",2.13815789473684
"32",2.17105263157895
"33",2.23684210526316
"34",2.26973684210526
"35",2.30263157894737
"36",2.33552631578947
"37",2.36842105263158
"38",2.40131578947368
"39",2.43421052631579
"40",2.5
"41",2.53289473684211
"42",2.66447368421053
"43",2.69736842105263
"44",2.73026315789474
"45",2.76315789473684
"46",2.79605263157895
"47",2.82894736842105
"48",2.92763157894737
"49",2.96052631578947
"50",2.99342105263158
"51",3.05921052631579
"52",3.125
"53",3.15789473684211
"54",3.19078947368421
"55",3.22368421052632
"56",3.25657894736842
"57",3.28947368421053
"58",3.32236842105263
"59",3.35526315789474
"60",3.38815789473684
"61",3.45394736842105
"62",3.51973684210526
"63",3.55263157894737
"64",3.58552631578947
"65",3.65131578947368
"66",3.75
"67",3.78289473684211
"68",3.84868421052632
"69",3.94736842105263
"70",3.98026315789474
"71",4.07894736842105
"72",4.11184210526316
"73",4.21052631578947
"74",4.24342105263158
"75",4.30921052631579
"76",4.34210526315789
"77",4.375
"78",4.40789473684211
"79",4.56666666666667
"80",4.60526315789474
"81",4.63815789473684
"82",4.70394736842105
"83",4.73684210526316
"84",5.03289473684211
"85",5.03333333333333
"86",5.06666666666667
"87",5.09868421052632
"88",5.13157894736842
"89",5.32894736842105
"90",5.49342105263158
"91",5.52631578947368
"92",5.55921052631579
"93",5.59210526315789
"94",5.75657894736842
"95",6.21710526315789
"96",6.28289473684211
"97",6.31578947368421
"98",6.48026315789474
"99",6.64473684210526
"100",6.74342105263158
"101",6.875
"102",7.07236842105263
"103",7.10526315789474
"104",7.26666666666667
"105",7.26973684210526
"106",7.30263157894737
"107",7.33552631578947
"108",7.53289473684211
"109",7.56578947368421
"110",7.59868421052632
"111",7.66447368421053
"112",7.73333333333333
"113",7.82894736842105
"114",7.86184210526316
"115",8.02631578947368
"116",8.05921052631579
"117",8.16666666666667
"118",8.25657894736842
"119",8.45394736842105
"120",8.48684210526316
"121",8.51973684210526
"122",8.58552631578947
"123",8.7171052631579
"124",8.75
"125",8.93333333333333
"126",8.98026315789474
"127",9.07894736842105
"128",9.24342105263158
"129",9.53333333333333
"130",9.57236842105263
"131",9.9671052631579
"132",10.1315789473684
"133",10.625
"134",10.8223684210526
"135",11.1184210526316
"136",11.5131578947368
"137",12.0394736842105
"138",12.2039473684211
"139",12.9934210526316
"140",13.0263157894737
"141",14.2763157894737
"142",14.4078947368421
"143",14.7368421052632
"144",17.0723684210526
"145",18.1907894736842
"146",21.1
"147",22.0333333333333
"148",22.4342105263158
"149",22.8289473684211
"150",23.3881578947368
"151",28.7828947368421
"152",31.1513157894737
"153",52.7302631578947
"154",59.5723684210526
